Organism,Num. miRNAs,Num. seq. with  G2L12,Num. seq with G4NN > 0.5
Homo sapiens,2656,191,478
Acacia auriculiformis,7,0,2
Acacia mangium,3,0,0
Acyrthosiphon pisum,103,1,10
Aedes aegypti,164,0,11
Aegilops tauschii,173,3,31
Alligator mississippiensis,373,1,38
Amborella trichopoda,129,1,10
Amphimedon queenslandica,16,3,3
Anas platyrhynchos,8,0,1
Anolis carolinensis,449,3,44
Anopheles gambiae,163,0,10
Apis mellifera,262,11,36
Aquilegia caerulea,45,0,2
Arabidopsis lyrata,384,0,24
Arabidopsis thaliana,428,9,50
Arachis hypogaea,32,0,1
Artibeus jamaicensis,19,0,0
Ascaris suum,189,0,11
Asparagus officinalis,101,0,7
Astatotilapia burtoni,236,0,22
Ateles geoffroyi,54,0,2
Avicennia marina,3,0,0
Bactrocera dorsalis,78,0,3
Bandicoot papillomatosis,2,0,0
Biston betularia,2,0,0
BK polyomavirus,2,0,0
Bombyx mori,563,3,33
Bos taurus,1030,51,141
Bovine foamy,4,0,0
Bovine herpesvirus,17,4,5
Bovine leukemia,10,3,2
Brachypodium distachyon,525,3,45
Branchiostoma belcheri,173,2,20
Branchiostoma floridae,187,4,15
Brassica napus,92,0,16
Brassica oleracea,11,0,1
Brassica rapa,157,0,17
Brugia malayi,166,1,8
Bruguiera cylindrica,4,0,0
Bruguiera gymnorhiza,4,0,0
Caenorhabditis brenneri,152,0,9
Caenorhabditis briggsae,163,1,14
Caenorhabditis elegans,437,4,28
Caenorhabditis remanei,182,0,17
Callithrix jacchus,470,9,41
Camelina sativa,112,1,9
Canis familiaris,453,7,42
Capitella teleta,134,0,7
Capra hircus,436,6,37
Carica papaya,81,1,23
Cavia porcellus,656,11,63
Cerebratulus lacteus,2,0,0
Chlamydomonas reinhardtii,86,7,23
Chrysemys picta,405,1,42
Ciona intestinalis,550,4,50
Ciona savignyi,25,0,4
Citrus clementina,5,0,1
Citrus reticulata,4,0,1
Citrus sinensis,246,4,29
Citrus trifoliata,6,0,1
Columba livia,420,2,44
Cricetulus griseus,351,6,38
Cucumis melo,120,0,18
Cucumis sativus,5,1,1
Culex quinquefasciatus,93,0,5
Cunninghamia lanceolata,4,0,1
Cynara cardunculus,57,0,5
Cyprinus carpio,146,0,11
Danio rerio,374,1,37
Daphnia pulex,45,0,2
Dasypus novemcinctus,602,11,52
Daubentonia madagascariensis,67,2,8
Dictyostelium discoideum,20,0,1
Digitalis purpurea,13,0,0
Dinoponera quadriceps,197,1,15
Drosophila ananassae,75,0,4
Drosophila erecta,120,0,12
Drosophila grimshawi,72,0,4
Drosophila melanogaster,469,3,37
Drosophila mojavensis,71,0,4
Drosophila persimilis,69,0,4
Drosophila pseudoobscura,272,0,13
Drosophila sechellia,120,0,7
Drosophila simulans,213,1,14
Drosophila virilis,328,0,18
Drosophila willistoni,72,0,4
Drosophila yakuba,103,0,7
Duck enteritis,33,2,1
Echinococcus granulosus,218,8,27
Echinococcus multilocularis,68,0,3
Ectocarpus siliculosus,77,1,7
Elaeis guineensis,6,0,0
Electrophorus electricus,34,0,1
Epstein Barr,44,0,10
Eptesicus fuscus,426,13,48
Equus caballus,690,22,71
Eugenia uniflora,74,0,6
Fasciola hepatica,38,0,1
Festuca arundinacea,15,0,0
Fragaria vesca,131,0,11
Fugu rubripes,108,0,7
Gadus morhua,516,0,35
Gallus gallus,1235,72,224
Glottidia pyramidata,1,0,0
Glycine max,756,7,84
Glycine soja,13,0,1
Gorilla gorilla,371,6,38
Gossypium arboreum,1,0,0
Gossypium herbaceum,1,0,0
Gossypium hirsutum,80,1,7
Gossypium raimondii,296,5,37
Gyrodactylus salaris,120,0,5
Haemonchus contortus,194,2,17
Haliotis rufescens,5,0,0
Helianthus annuus,7,0,2
Helianthus argophyllus,3,0,0
Helianthus ciliaris,3,0,0
Helianthus exilis,2,0,2
Helianthus paradoxus,3,0,0
Helianthus petiolaris,3,0,0
Helianthus tuberosus,16,0,0
Heliconius melpomene,97,1,9
Heligmosomoides polygyrus,486,7,36
Herpes B,15,4,3
Herpes Simplex,51,7,16
Herpesvirus of,28,2,4
Herpesvirus saimiri,6,0,0
Hevea brasiliensis,30,0,5
Hippoglossus hippoglossus,36,0,3
Hordeum vulgare,71,4,10
Human cytomegalovirus,26,1,3
Human herpesvirus,8,0,0
Human immunodeficiency,4,0,1
Hydra magnipapillata,20,0,0
Ictalurus punctatus,205,0,15
Infectious laryngotracheitis,10,0,1
Ixodes scapularis,49,0,3
JC polyomavirus,2,0,0
Kaposi sarcoma-associated,25,1,3
Lagothrix lagotricha,45,0,2
Lemur catta,15,0,0
Leucosolenia complicata,1,0,1
Linum usitatissimum,124,0,18
Locusta migratoria,14,0,1
Lottia gigantea,64,0,8
Lotus japonicus,365,2,31
Lytechinus variegatus,49,0,8
Macaca mulatta,912,24,96
Macaca nemestrina,70,0,4
Macropus eugenii,3,0,0
Malus domestica,322,0,29
Manduca sexta,93,0,8
Manihot esculenta,175,0,12
Mareks disease,62,1,8
Marsupenaeus japonicus,7,0,2
Medicago truncatula,756,9,95
Melibe leonina,176,0,14
Merkel cell,2,0,0
Mesocestoides corti,45,0,1
Metriaclima zebra,184,0,19
Microcebus murinus,109,0,8
Monodelphis domestica,1138,22,130
Mouse cytomegalovirus,29,1,5
Mouse gammaherpesvirus,28,1,3
Mus musculus,1978,101,323
Nasonia giraulti,32,0,2
Nasonia longicornis,28,0,2
Nasonia vitripennis,53,0,3
Nematostella vectensis,140,0,6
Neolamprologus brichardi,182,0,18
Nicotiana tabacum,164,0,17
Nomascus leucogenys,135,0,9
Oikopleura dioica,63,0,8
Ophiophagus hannah,343,0,37
Oreochromis niloticus,695,1,59
Ornithorhynchus anatinus,640,11,77
Oryctolagus cuniculus,579,9,45
Oryza sativa,738,9,95
Oryzias latipes,146,0,12
Otolemur garnettii,127,0,10
Ovis aries,153,2,10
Paeonia lactiflora,15,0,2
Pan paniscus,157,0,9
Pan troglodytes,589,17,68
Panagrellus redivivus,394,2,37
Panax ginseng,32,0,4
Papio hamadryas,86,1,10
Paralichthys olivaceus,38,0,5
Parasteatoda tepidariorum,257,0,13
Patiria miniata,50,0,9
Petromyzon marinus,302,5,31
Phaeodactylum tricornutum,13,0,1
Phaseolus vulgaris,10,0,2
Physcomitrella patens,298,1,26
Phytophthora infestans,2,0,0
Phytophthora ramorum,4,0,0
Phytophthora sojae,4,0,2
Picea abies,600,6,51
Pinus densata,29,1,2
Pinus taeda,36,0,1
Plutella xylostella,127,2,17
Polistes canadensis,140,3,15
Pongo pygmaeus,645,19,74
Populus euphratica,4,0,1
Populus trichocarpa,401,3,41
Pristionchus pacificus,550,2,26
Prunus persica,214,2,35
Pseudorabies virus,18,4,6
Pteropus alecto,651,9,68
Pundamilia nyererei,182,0,21
Pygathrix bieti,9,0,0
Python bivittatus,307,3,33
Raccoon polyomavirus,2,0,1
Rattus norvegicus,764,15,76
Rehmannia glutinosa,37,0,0
Rhesus lymphocryptovirus,70,2,12
Rhesus monkey,11,0,3
Rhipicephalus microplus,24,0,1
Ricinus communis,63,0,12
Saccharum officinarum,16,0,2
Saccharum sp.,20,0,2
Saccoglossus kowalevskii,114,2,16
Saguinus labiatus,40,0,1
Saimiri boliviensis,36,0,1
Salicornia europaea,31,1,7
Salmo salar,497,1,49
Salvia miltiorrhiza,1,0,0
Salvia sclarea,18,0,3
Sarcophilus harrisii,62,0,5
Schistosoma japonicum,79,0,8
Schistosoma mansoni,225,1,12
Schmidtea mediterranea,257,0,16
Selaginella moellendorffii,64,0,3
Simian foamy,13,0,1
Simian virus,2,0,0
Solanum lycopersicum,147,1,15
Solanum tuberosum,343,3,21
Sorghum bicolor,241,1,24
Spodoptera frugiperda,221,1,16
Strigamia maritima,4,0,0
Strongylocentrotus purpuratus,70,2,10
Strongyloides ratti,208,0,18
Sus scrofa,457,9,52
Sycon ciliatum,2,0,0
Symbiodinium microadriaticum,15,0,0
